feature,coefficient
 % ,0.7928828030384705
2004,0.7439363651755809
average_word_length,0.7256880701492782
 ! ,0.7146247763002224
no,0.6527652530753748
3,0.6245304565380467
r,0.6223605141817916
 | ,0.6009150896396874
hello,0.5619503804210237
my,0.5580190699370485
f,0.5322471126635203
read the,0.5246673333155858
http,0.5195408101013105
v,0.473793377834878
95,0.45415404956821925
u,0.44810687642769564
here,0.4472011606973669
money,0.4305560335353133
b,0.4284919338589156
never,0.41880543805434967
only,0.4167845017868237
 here,0.4105887088559037
hey,0.4058685073235592
90 ,0.4020972717985157
sun,0.3965427573765971
mobile,0.39543955669547015
remove,0.3867960533477901
read,0.38501627645044273
and special,0.38322214470176874
dose,0.38070586826790825
0 2,0.3806146613056349
us ,0.3780872685139166
more,0.3766521267552855
looking,0.3764170321522886
a,0.3703147726058785
life,0.3675230854442997
please read,0.367017804483667
o,0.365173047761918
 her,0.36477284422324374
international,0.3589057419986356
try this,0.35840326243798204
take,0.356192604087436
 mo,0.3553504834092415
rolex,0.35520664757702775
60,0.35217604600975966
in ,0.3505836339512288
nbsp,0.3482343586582618
has_return_path,0.34679403720603613
 zo,0.34672627159906444
 he,0.3449833732529966
click here,0.34184804599504404
g,0.338864775559725
 in,0.33840745411816014
ero,0.3380547864259099
mov,0.3368343145551658
n,0.336712826128884
 r ,0.3361526580687252
said,0.3357648583429601
women,0.3357643596088346
36,0.33361419476239024
paliourg,0.3331814703638935
dec 2004,0.33085819408858697
people,0.3287195957360372
info,0.3282487908477452
2004 ,0.32549032552048474
 . ,0.32345853870351743
c,0.3228169781830939
 2004,0.3226852016893104
age,0.32251206738547156
2,0.3209901283371478
q,0.3207767376399149
try,0.3186704219637631
2004,0.3185048734860826
 lo,0.31725584553539576
own,0.31695786242780344
webcam,0.3169505824173289
7,0.3163025417493752
here to,0.3153391925226377
 rea,0.3139909598248433
of,0.31285521245749803
san,0.3115706651955857
 ) ,0.30843051509199165
 no ,0.3079488352984137
what,0.3056355716202024
004 ,0.3047333730966512
re ,0.304648348979358
blvd,0.3044020790460963
world,0.3036263000601739
woman,0.30336625335122885
men,0.3014312471585673
 : ,0.30008384208515254
ca,0.29963290443399365
. . ,0.299046916361814
 3 ,0.2989925890730768
nothing,0.2977375543542721
come and,0.2947008628400569
advantage,0.2945059546042906
us,0.2944632468753094
004,0.2940639093881501
message is,0.2929699630048564
2005,0.2926212320790121
. .,0.2921695362000523
say,0.2916940383080933
one,0.2915833868251634
rm ,0.2883532574895681
it for,0.28789580007376225
k h,0.2873968781505293
 my,0.28663581188420945
nbsp nbsp,0.28642639520834384
 med,0.285276375592647
pills,0.28401108110452955
0500,0.2838647141950253
fe ,0.28227767866503917
 no,0.28149051687990195
medications,0.2807931069266432
results,0.27985805822977056
 my ,0.2793049271881173
full,0.27907646670582553
papers,0.278937953285949
p,0.27876898420076507
could,0.2783465380224512
regards,0.2782063354327538
his,0.2771961403383099
thing,0.2771432441910058
xp,0.2762173100182135
in,0.27604253463217593
even,0.27524479027032256
so good,0.2745398152964395
act,0.2743438118297924
press,0.2742043966695538
delivered,0.2735450553560772
smile,0.27294426956486934
about it,0.27267212676549935
no more,0.2720736676449947
ssa,0.27150421412879727
. 00 ,0.2700698339931337
biz,0.27004152823325056
oo ,0.2699651221411837
um ,0.2697108938538421
meds,0.268964966809553
 mu,0.268963118331027
online,0.26878143538815796
emails,0.2679537202944335
ape,0.2678793674806913
our,0.2676968856618535
le ,0.2674641561628322
link,0.2670747660886034
e,0.26583293190630797
s your,0.26559435294969025
wom,0.2652888090640348
prices,0.2651167547671776
" , ",0.26503971536439813
 . r,0.263237585604598
 . . ,0.26259285490010786
no ,0.2610977297330797
s so,0.26028525998863256
best,0.25971457138081633
porn,0.25877752884169125
t be,0.25875497632065153
os ,0.25782557688071467
com /,0.2576443050197617
 ph,0.257575403585305
yourself,0.25720741094660715
php,0.25699914477813884
men ,0.25687452680059825
quality,0.2567826397053329
 . .,0.25650170075881656
come,0.25641388209461274
soft,0.2562854730038283
om /,0.2560220714872367
. r,0.2560164920718897
open,0.25598755899656256
e .,0.2559746758823188
a rolex,0.25530226277056567
mr,0.2552401426702159
ck h,0.2550985630193519
to you,0.25417723178655544
8,0.2539034280886817
my ,0.25292105712230395
1,0.25240014237644426
m /,0.25227956960551
s !,0.25195300169799967
emo,0.25066419720646127
paint,0.25045123843851047
bank,0.25011064383056825
looking for,0.25004718787469554
h,0.24945756596547158
nv,0.24905487344184582
the low,0.24899904192887123
e !,0.2484711042768728
3 o,0.24808176740314333
speak,0.2475221179194723
e ! ,0.24751538541808601
 onl,0.2474841441757858
ko,0.24747547561302552
cats,0.24690599645067743
statements,0.24606894399301546
what s,0.2448131250684777
 mus,0.24444174775011088
email,0.24401046903949103
special offers,0.24373941310057234
ere,0.24322960399132945
ney,0.242977771329616
hot,0.24223521058114497
ove,0.24213494394914592
loa,0.242028256888902
a very,0.24153933972586553
one,0.24128114439321033
k her,0.2412556684895944
lock in,0.2410409925945712
feedback to,0.24101000828714728
 23,0.2408131347087233
to opt,0.24042078011108384
mailings,0.2402324820337394
dept,0.24008988356011282
om / ,0.2395643501129743
 bod,0.23867587154453015
it ,0.23856350126601425
in 1,0.23849124357967932
remo,0.23837302391246196
be like,0.23828808853347183
l,0.23789935441616553
rnd _,0.23745947739552736
m / ,0.23620132017810522
ello,0.23596601428377534
want,0.2357031116729407
 - l,0.23565841666767745
- l,0.23453781678464972
s ! ,0.2331946915704885
below and,0.2328831922538765
health,0.2327549522557666
no doctor,0.23251724290892034
not interested,0.2321766067246059
rnd,0.23177163287107466
tara,0.2316692817080028
k he,0.23038443677314918
drugs,0.23015775555555407
 - 1,0.23009043390635464
e now,0.22996218981563127
- 1,0.22965338630961582
an ,0.22926579191420146
70,0.22874513080881562
ney ,0.22826339279538235
hop ,0.22815692163569867
tml ,0.22784192304187753
html ,0.22784192304187753
med,0.2273081482115735
ml ,0.22556384960467132
xm,0.22551895801428887
it,0.22549356014526023
mal,0.22546091594987983
press here,0.22544148919722673
9 - ,0.22521212224810172
no thanks,0.2250888393561304
link on,0.22482393617827398
you,0.22459532701249862
9 -,0.22372311943910142
windows,0.22298462390657853
order today,0.22276206336461923
girls,0.22268582299966527
emov,0.22227568520849014
security,0.22204342008964215
iou,0.22167459382921256
remov,0.22151023005643128
ult,0.22131710729524876
 - ,0.22048205090333206
 u ,0.2202695132706048
adobe,0.22025072400816337
 of,0.22000221284505866
nd s,0.2198907228682066
size,0.21924987221376935
save,0.2192185486555942
 + ,0.21889391709558426
2003,0.21886533628333396
html,0.21881256872447094
alt,0.21879596263533077
don t,0.21864397723785853
lock,0.2185242055026378
opinions,0.21845217572459413
emove,0.21843403011109
ife ,0.2183539181481238
site,0.2178195756240268
ere t,0.21753377539990273
ttp :,0.21753334000299612
p : /,0.21753334000299612
ali,0.21733283320034322
ebay,0.21732319355475807
 18,0.21719077661697248
tp ,0.21692234007233066
best regards,0.2168610529722936
per dose,0.21661794381565355
html,0.2162929657324474
tml,0.21580547066283315
http ,0.21566968211078238
ttp ,0.21566968211078238
